Symbol,step,noofstrikes,addional_strikes_enabled_intraday
AARTIIND,10,10 - 1 - 10,16
ABB,50,9 - 1 - 9,15
ABBOTINDIA,250,13 - 1 - 13,20
ABCAPITAL,2.5,10 - 1 - 10,15
ABFRL,5,10 - 1 - 10,15
ACC,20,20 - 1 - 20,33
ADANIENT,50,13 - 1 - 13,20
ADANIPORTS,10,14 - 1 - 14,22
ALKEM,20,20 - 1 - 20,42
AMBUJACEM,10,9 - 1 - 9,14
APOLLOHOSP,50,14 - 1 - 14,24
APOLLOTYRE,5,10 - 1 - 10,16
ASHOKLEY,2.5,9 - 1 - 9,15
ASIANPAINT,20,20 - 1 - 20,43
ASTRAL,20,16 - 1 - 16,26
ATUL,100,13 - 1 - 13,20
AUBANK,10,11 - 1 - 11,16
AUROPHARMA,5,14 - 1 - 14,22
AXISBANK,10,15 - 1 - 15,23
BAJAJ-AUTO,20,20 - 1 - 20,53
BAJAJFINSV,20,12 - 1 - 12,20
BAJFINANCE,100,10 - 1 - 10,17
BALKRISIND,20,17 - 1 - 17,26
BALRAMCHIN,5,12 - 1 - 12,19
BANDHANBNK,5,8 - 1 - 8,12
BANKBARODA,2.5,12 - 1 - 12,18
BATAINDIA,20,13 - 1 - 13,20
BEL,1,16 - 1 - 16,26
BERGEPAINT,10,10 - 1 - 10,15
BHARATFORG,10,14 - 1 - 14,22
BHARTIARTL,10,13 - 1 - 13,21
BHEL,1,13 - 1 - 13,21
BIOCON,2.5,17 - 1 - 17,27
BOSCHLTD,250,11 - 1 - 11,18
BPCL,5,11 - 1 - 11,17
BRITANNIA,50,14 - 1 - 14,22
BSOFT,5,10 - 1 - 10,15
CANBK,5,10 - 1 - 10,16
CANFINHOME,10,9 - 1 - 9,13
CHAMBLFERT,5,10 - 1 - 10,16
CHOLAFIN,10,12 - 1 - 12,18
CIPLA,10,17 - 1 - 17,27
COALINDIA,2.5,14 - 1 - 14,23
COFORGE,50,12 - 1 - 12,20
COLPAL,10,20 - 1 - 20,43
CONCOR,10,12 - 1 - 12,19
COROMANDEL,10,15 - 1 - 15,24
CROMPTON,5,11 - 1 - 11,17
CUB,2.5,12 - 1 - 12,20
CUMMINSIND,20,11 - 1 - 11,18
DABUR,5,18 - 1 - 18,29
DALBHARAT,20,15 - 1 - 15,23
DEEPAKNTR,20,17 - 1 - 17,27
DELTACORP,5,7 - 1 - 7,11
DIVISLAB,20,20 - 1 - 20,48
DIXON,50,13 - 1 - 13,20
DLF,5,12 - 1 - 12,20
DRREDDY,50,14 - 1 - 14,22
EICHERMOT,50,10 - 1 - 10,17
ESCORTS,20,17 - 1 - 17,27
EXIDEIND,2.5,12 - 1 - 12,19
FEDERALBNK,2.5,9 - 1 - 9,13
FSL,1,16 - 1 - 16,27
GAIL,1,15 - 1 - 15,24
GLENMARK,5,14 - 1 - 14,21
GMRINFRA,1,7 - 1 - 7,10
GNFC,10,9 - 1 - 9,15
GODREJCP,10,14 - 1 - 14,22
GODREJPROP,20,10 - 1 - 10,17
GRANULES,5,11 - 1 - 11,16
GRASIM,20,14 - 1 - 14,22
GUJGASLTD,10,8 - 1 - 8,14
HAL,20,20 - 1 - 20,32
HAVELLS,10,18 - 1 - 18,28
HCLTECH,10,16 - 1 - 16,26
HDFC,20,20 - 1 - 20,34
HDFCAMC,20,17 - 1 - 17,29
HDFCBANK,10,20 - 1 - 20,46
HDFCLIFE,5,18 - 1 - 18,29
HEROMOTOCO,20,20 - 1 - 20,36
HINDALCO,10,7 - 1 - 7,12
HINDCOPPER,2.5,7 - 1 - 7,12
HINDPETRO,2.5,15 - 1 - 15,25
HINDUNILVR,20,20 - 1 - 20,34
HONAUT,500,13 - 1 - 13,21
IBULHSGFIN,2.5,9 - 1 - 9,15
ICICIBANK,10,14 - 1 - 14,23
ICICIGI,20,10 - 1 - 10,15
ICICIPRULI,5,14 - 1 - 14,23
IDEA,1,5 - 1 - 5,1
IDFC,1,13 - 1 - 13,21
IDFCFIRSTB,1,10 - 1 - 10,16
IEX,2.5,9 - 1 - 9,15
IGL,5,14 - 1 - 14,22
INDHOTEL,5,11 - 1 - 11,16
INDIACEM,5,8 - 1 - 8,12
INDIAMART,50,14 - 1 - 14,21
INDIGO,20,16 - 1 - 16,25
INDUSINDBK,20,10 - 1 - 10,15
INDUSTOWER,2.5,12 - 1 - 12,20
