Symbol,step,noofstrikes,addional_strikes_enabled_intraday
AARTIIND,10,11 - 1 - 11,18
ABB,50,7 - 1 - 7,12
ABBOTINDIA,250,11 - 1 - 11,18
ABCAPITAL,2.5,6 - 1 - 6,10
ABFRL,5,8 - 1 - 8,12
ACC,20,16 - 1 - 16,27
ADANIENT,50,7 - 1 - 7,11
ADANIPORTS,10,11 - 1 - 11,17
ALKEM,50,10 - 1 - 10,15
AMARAJABAT,5,15 - 1 - 15,24
AMBUJACEM,5,11 - 1 - 11,18
APOLLOHOSP,50,12 - 1 - 12,18
APOLLOTYRE,2.5,12 - 1 - 12,18
ASHOKLEY,2.5,9 - 1 - 9,13
ASIANPAINT,50,8 - 1 - 8,14
ASTRAL,20,13 - 1 - 13,21
ATUL,100,13 - 1 - 13,20
AUBANK,10,10 - 1 - 10,16
AUROPHARMA,10,9 - 1 - 9,13
AXISBANK,10,10 - 1 - 10,16
BAJAJ-AUTO,50,12 - 1 - 12,18
BAJAJFINSV,250,8 - 1 - 8,11
BAJFINANCE,100,9 - 1 - 9,13
BALKRISIND,50,7 - 1 - 7,11
BALRAMCHIN,10,6 - 1 - 6,10
BANDHANBNK,5,10 - 1 - 10,16
BANKBARODA,2.5,6 - 1 - 6,10
BATAINDIA,20,13 - 1 - 13,22
BEL,5,8 - 1 - 8,12
BERGEPAINT,10,9 - 1 - 9,15
BHARATFORG,10,10 - 1 - 10,16
BHARTIARTL,10,11 - 1 - 11,17
BHEL,1,8 - 1 - 8,12
BIOCON,5,10 - 1 - 10,16
BOSCHLTD,250,9 - 1 - 9,13
BPCL,5,10 - 1 - 10,16
BRITANNIA,50,11 - 1 - 11,17
BSOFT,10,6 - 1 - 6,8
CANBK,2.5,12 - 1 - 12,18
CANFINHOME,10,7 - 1 - 7,11
CHAMBLFERT,10,5 - 1 - 5,8
CHOLAFIN,10,10 - 1 - 10,16
CIPLA,10,15 - 1 - 15,24
COALINDIA,2.5,12 - 1 - 12,19
COFORGE,50,10 - 1 - 10,17
COLPAL,20,12 - 1 - 12,19
CONCOR,10,10 - 1 - 10,16
COROMANDEL,20,8 - 1 - 8,12
CROMPTON,5,10 - 1 - 10,16
CUB,2.5,9 - 1 - 9,13
CUMMINSIND,20,8 - 1 - 8,12
DABUR,5,15 - 1 - 15,25
DALBHARAT,20,10 - 1 - 10,16
DEEPAKNTR,50,6 - 1 - 6,9
DELTACORP,5,6 - 1 - 6,8
DIVISLAB,50,11 - 1 - 11,18
DIXON,50,11 - 1 - 11,17
DLF,5,10 - 1 - 10,16
DRREDDY,50,14 - 1 - 14,21
EICHERMOT,50,9 - 1 - 9,13
ESCORTS,20,12 - 1 - 12,20
EXIDEIND,1,20 - 1 - 20,37
FEDERALBNK,1,14 - 1 - 14,22
FSL,2.5,7 - 1 - 7,10
GAIL,2.5,9 - 1 - 9,15
GLENMARK,5,12 - 1 - 12,19
GMRINFRA,1,6 - 1 - 6,9
GNFC,20,5 - 1 - 5,7
GODREJCP,10,12 - 1 - 12,18
GODREJPROP,20,10 - 1 - 10,15
GRANULES,5,8 - 1 - 8,13
GRASIM,20,11 - 1 - 11,16
GUJGASLTD,10,7 - 1 - 7,11
HAL,20,14 - 1 - 14,24
HAVELLS,20,9 - 1 - 9,14
HCLTECH,10,15 - 1 - 15,25
HDFC,20,16 - 1 - 16,26
HDFCAMC,20,14 - 1 - 14,23
HDFCBANK,20,10 - 1 - 10,16
HDFCLIFE,10,9 - 1 - 9,15
